Ano;Mês;CLIENTE;RECEITA;PESO;Classificação
2020;setembro;#N/D;;1;FRACIONADO
2020;outubro;#N/D;;2;FRACIONADO
2020;novembro;#N/D;;49901;FRACIONADO
2020;dezembro;#N/D;;146210;FRACIONADO
2021;janeiro;#N/D;;31926;FRACIONADO
2020;novembro;Clinte 1;R$ 81;3;FRACIONADO
2020;abril;Clinte 2;R$ 60;2;FRACIONADO
2020;agosto;Clinte 3;R$ 916;202;FRACIONADO
2020;setembro;Clinte 3;R$ 1.697;380;FRACIONADO
2020;outubro;Clinte 3;R$ 2.286;583;FRACIONADO
2020;junho;Clinte 4;R$ 49;1;FRACIONADO
2020;julho;Clinte 4;R$ 61;1;FRACIONADO
2020;outubro;Clinte 4;R$ 61;1;FRACIONADO
2020;dezembro;Clinte 4;R$ 62;10;FRACIONADO
2021;março;Clinte 4;R$ 116;60;FRACIONADO
2020;janeiro;Clinte 5;R$ 365;260;FRACIONADO
2020;março;Clinte 5;R$ 730;605;FRACIONADO
2020;junho;Clinte 6;R$ 211;163;FRACIONADO
2020;julho;Clinte 6;R$ 355;172;FRACIONADO
2020;agosto;Clinte 6;R$ 208;112;FRACIONADO
2020;setembro;Clinte 6;R$ 273;155;FRACIONADO
2020;outubro;Clinte 6;R$ 150;25;FRACIONADO
2020;dezembro;Clinte 6;R$ 494;334;FRACIONADO
2021;janeiro;Clinte 6;R$ 89;67;FRACIONADO
2021;fevereiro;Clinte 6;R$ 78;35;FRACIONADO
2021;março;Clinte 6;R$ 277;163;FRACIONADO
2020;janeiro;Clinte 7;R$ 278;105;FRACIONADO
2020;janeiro;Clinte 8;R$ 104;95;FRACIONADO
2020;fevereiro;Clinte 8;R$ 48;25;FRACIONADO
2020;março;Clinte 8;R$ 163;134;FRACIONADO
2020;abril;Clinte 8;R$ 111;98;FRACIONADO
2020;maio;Clinte 8;R$ 49;33;FRACIONADO
2020;junho;Clinte 8;R$ 48;8;FRACIONADO
2020;julho;Clinte 8;R$ 601;563;FRACIONADO
2020;agosto;Clinte 8;R$ 192;173;FRACIONADO
2020;setembro;Clinte 8;R$ 167;126;FRACIONADO
2020;outubro;Clinte 8;R$ 363;358;FRACIONADO
2020;dezembro;Clinte 8;R$ 348;293;FRACIONADO
2021;janeiro;Clinte 8;R$ 252;137;FRACIONADO
2021;fevereiro;Clinte 8;R$ 235;207;FRACIONADO
2021;março;Clinte 8;R$ 148;155;FRACIONADO
2020;janeiro;Clinte 9;R$ 387;52;FRACIONADO
2020;fevereiro;Clinte 9;R$ 122;14;FRACIONADO
2020;março;Clinte 9;R$ 102;42;FRACIONADO
2020;abril;Clinte 9;R$ 65;10;FRACIONADO
2020;maio;Clinte 9;R$ 32;1;FRACIONADO
2020;janeiro;Clinte 10;R$ 150;116;FRACIONADO
2020;maio;Clinte 10;R$ 47;1;FRACIONADO
2020;junho;Clinte 10;R$ 49;3;FRACIONADO
2020;outubro;Clinte 10;R$ 19;61;FRACIONADO
2020;novembro;Clinte 10;R$ 47;5;FRACIONADO
2020;dezembro;Clinte 10;R$ 188;86;FRACIONADO
2021;fevereiro;Clinte 10;R$ 94;32;FRACIONADO
2021;março;Clinte 10;R$ 155;31;FRACIONADO
2020;janeiro;Clinte 11;R$ 64;3;FRACIONADO
2020;fevereiro;Clinte 11;R$ 75;18;FRACIONADO
2020;agosto;Clinte 11;R$ 123;60;FRACIONADO
2020;outubro;Clinte 11;R$ 151;100;FRACIONADO
2020;novembro;Clinte 11;R$ 64;15;FRACIONADO
2020;dezembro;Clinte 11;R$ 57;5;FRACIONADO
2021;março;Clinte 11;R$ 74;5;FRACIONADO
