Ano;Mês;CLIENTE;RECEITA;PESO;Classificação;Data;Semestre;Peso Total por Semestre;Receita Total por Semestre;Total de Compras;Cliente que Mais Comprou;Peso Total Transportado;Perfil Cliente;Variação Receita;Cliente Retido
2020;setembro;#N/D;0.0;1.0;FRACIONADO;;;;;24;Cliente 1460;229986.0;Frequente;-21.27869724576852;1
2020;outubro;#N/D;0.0;2.0;FRACIONADO;;;;;24;Cliente 1460;229986.0;Frequente;-21.27869724576852;1
2020;novembro;#N/D;0.0;49901.0;FRACIONADO;;;;;24;Cliente 1460;229986.0;Frequente;-21.27869724576852;1
2020;dezembro;#N/D;0.0;146210.0;FRACIONADO;;;;;24;Cliente 1460;229986.0;Frequente;-21.27869724576852;1
2021;janeiro;#N/D;0.0;31926.0;FRACIONADO;;;;;24;Cliente 1460;229986.0;Frequente;-79.37816207898645;1
2020;novembro;Cliente 1;81.0;3.0;FRACIONADO;;;;;1;Cliente 1460;3.0;Único;-21.27869724576852;0
2020;abril;Cliente 2;60.0;2.0;FRACIONADO;;;;;11;Cliente 1460;33.0;Sazonal;-21.27869724576852;0
2020;agosto;Cliente 3;916.0;202.0;FRACIONADO;;;;;10;Cliente 1460;2772.0;Sazonal;-21.27869724576852;0
2020;setembro;Cliente 3;1697.0;380.0;FRACIONADO;;;;;10;Cliente 1460;2772.0;Sazonal;-21.27869724576852;0
2020;outubro;Cliente 3;2286.0;583.0;FRACIONADO;;;;;10;Cliente 1460;2772.0;Sazonal;-21.27869724576852;0
2020;junho;Cliente 4;49.0;1.0;FRACIONADO;;;;;5;Cliente 1460;73.0;Sazonal;-21.27869724576852;0
2020;julho;Cliente 4;61.0;1.0;FRACIONADO;;;;;5;Cliente 1460;73.0;Sazonal;-21.27869724576852;0
2020;outubro;Cliente 4;61.0;1.0;FRACIONADO;;;;;5;Cliente 1460;73.0;Sazonal;-21.27869724576852;0
2020;dezembro;Cliente 4;62.0;10.0;FRACIONADO;;;;;5;Cliente 1460;73.0;Sazonal;-21.27869724576852;0
2021;março;Cliente 4;116.0;60.0;FRACIONADO;;;;;5;Cliente 1460;73.0;Sazonal;-79.37816207898645;0
2020;janeiro;Cliente 5;365.0;260.0;FRACIONADO;;;;;15;Cliente 1460;4198.0;Sazonal;-21.27869724576852;0
2020;março;Cliente 5;730.0;605.0;FRACIONADO;;;;;15;Cliente 1460;4198.0;Sazonal;-21.27869724576852;0
2020;junho;Cliente 6;211.0;163.0;FRACIONADO;;;;;9;Cliente 1460;1226.0;Sazonal;-21.27869724576852;0
